Date,Sunrise,Sunset
01/01/2018,09:05,16:59
02/01/2018,09:05,17:00
03/01/2018,09:05,17:01
04/01/2018,09:04,17:02
05/01/2018,09:04,17:03
06/01/2018,09:04,17:04
07/01/2018,09:03,17:06
08/01/2018,09:03,17:07
09/01/2018,09:02,17:08
10/01/2018,09:02,17:10
11/01/2018,09:01,17:11
12/01/2018,09:01,17:13
13/01/2018,09:00,17:14
14/01/2018,08:59,17:16
15/01/2018,08:58,17:17
16/01/2018,08:57,17:19
17/01/2018,08.56,17.20
18/01/2018,08:55,17:22
19/01/2018,08:54,17:24
20/01/2018,08:53,17:25
21/01/2018,08:52,17:27
22/01/2018,08:51,17:29
23/01/2018,08:50,17:31
24/01/2018,08:49,17:32
25/01/2018,08:47,17:34
26/01/2018,08:46,17:36
27/01/2018,08:45,17:38
28/01/2018,08:43,17:39
29/01/2018,08:42,17:41
30/01/2018,08:41,17:43
31/01/2018,08:39,17:45
01/02/2018,08:09,17:08
02/02/2018,08:08,17:10
03/02/2018,08:06,17:12
04/02/2018,08:04,17:14
05/02/2018,08:02,17:16
06/02/2018,08:00,17:17 
07/02/2018,07:59,17:19 
08/02/2018,07:57,17:21
09/02/2018,07:55,17:23
10/02/2018,07:53,17:25
11/02/2018,07:51,17:27 
12/02/2018,07:49,17:29 
13/02/2018,07:47,17:31
14/02/2018,07:45,17:33
15/02/2018,07:43,17:35
16/02/2018,07:41,17:37
17/02/2018,07:39,17:39
18/02/2018,07:37,17:41
19/02/2018,07:35,17:43
20/02/2018,07:32,17:45
21/02/2018,07:30,17:47
22/02/2018,07:28,17:49
23/02/2018,07:26,17:51
24/02/2018,07:24,17:53
25/02/2018,07:21,17:55
26/02/2018,07:19,17:57
27/02/2018,07:17,17:59
28/02/2018,07:15,18:00
01/03/2018,07:12,18:02
02/03/2018,07:10,18:04
03/03/2018,07:08,18:06
04/03/2018,07:05,18:08
05/03/2018,07:03,18:10
06/03/2018,07:01,18:12
07/03/2018,06:58,18:14
08/03/2018,06:56,18:16
09/03/2018,06:54,18:17
10/03/2018,06:51,18:19 
11/03/2018,06:49,18:21
12/03/2018,06:47,18:23
13/03/2018,06:44,18:25
14/03/2018,06:42,18:27
15/03/2018,06:39,18:29
16/03/2018,06:37,18:30
17/03/2018,06:35,18:32
18/03/2018,06:32,18:34
19/03/2018,06:30,18:36
20/03/2018,06:27,18:38
21/03/2018,06:25,18:40
22/03/2018,06:23,18:41
23/03/2018,06:20,18:43
24/03/2018,06:18,18:45
25/03/2018,07:15,19:47
26/03/2018,07:13,19:49
27/03/2018,07:10,19:51
28/03/2018,07:08,19:52
29/03/2018,07:06,19:54
30/03/2018,07:03,19:56
31/03/2018,07:01,19:58
01/04/2018,06:58,20:00  
02/04/2018,06:56,20:01
03/04/2018,06:54,20:03
04/04/2018,06:51,20:05
05/04/2018,06:49,20:07
06/04/2018,06:46,20:09
07/04/2018,06:44,20:10
08/04/2018,06:42,20:12
09/04/2018,06:39,20:14
10/04/2018,06:37,20:16
11/04/2018,06:35,20:18
12/04/2018,06:32,20:19
13/04/2018,06:30,20:21
14/04/2018,06:28,20:23
15/04/2018,06:25,20:25
16/04/2018,06:23,20:27
17/04/2018,06:21,20:29
18/04/2018,06:19,20:30
19/04/2018,06:16,20:32
20/04/2018,06:14,20:34
21/04/2018,06:12,20:36
22/04/2018,06:10,20:38
23/04/2018,06:08,20:39
24/04/2018,06:05,20:41
25/04/2018,06:03,20:43
26/04/2018,06:01,20:45
27/04/2018,05:59,20:47
28/04/2018,05:57,20:48
29/04/2018,05:55,20:50
30/04/2018,05:53,20:52
01/05/2018,05.51,20.54
02/05/2018,05:49,20:56
03/05/2018,05:47,20:57
04/05/2018,05:45,20:59
05/05/2018,05:43,21:01
06/05/2018,05:41,21:03
07/05/2018,05:39,21:04
08/05/2018,05:37,21:06
09/05/2018,05:35,21:08
10/05/2018,05:34,21:09
11/05/2018,05:32,21:11
12/05/2018,05:30,21:13
13/05/2018,05:28,21:15
14/05/2018,05:27,21:16
15/05/2018,05:25,21:18
16/05/2018,05:23,21:19
17/05/2018,05:22,21:21
18/05/2018,05:20,21:23
19/05/2018,05:19,21:24
20/05/2018,05:17,21:26
21/05/2018,05:16,21:27
22/05/2018,05:15,21:29
23/05/2018,05:13,21:30
24/05/2018,05:12,21:32
25/05/2018,05:11,21:33
26/05/2018,05:10,21:35
27/05/2018,05:08,21:36
28/05/2018,05:07,21:37
29/05/2018,05:06,21:38
30/05/2018,05:05,21:40
31/05/2018,05:04,21:41
01/06/2018,05:03,21:42
